CIK,Ticker,Name
1099290,AAC,Aac Holdings Inc
1555074,AAMC,Altisource Asset
1158114,AAOI,Applied Optoelectronics Inc
824142,AAON,Aaon Inc
1500217,AAT,American Assets Trust
881890,ABAX,Abaxis Inc
351569,ABCB,Ameris Bancorp
1466815,ABCD,Cambium Learning Group
1157377,ABCO,The Advisory Board Company
885322,ABCW,Anchor Bancorp Wisconsin Inc
1144980,ABG,Asbury Automotive Group Inc
771497,ABM,ABM Industries Incorporated
815094,ABMD,Abiomed
1070494,ACAD,Acadia Pharmaceuticals Inc
719866,ACAT,Arctic Cat Inc
2034,ACET,Aceto Corp
1070336,ACHN,Achillion Pharmaceuticals
935036,ACIW,Aci Worldwide
1113232,ACLS,Axcelis Technologies
1008848,ACOR,Acorda Therapeutics
1529377,ACRE,Ares Commercial Real Estate Cor
934549,ACTG,Acacia Research Corp
817979,ACW,Accuride Corporation
733269,ACXM,Acxiom Corp
917251,ADC,Agree Realty Corp
709804,ADPT,Adeptus Health Inc
926282,ADTN,Adtran Inc
1468328,ADUS,Addus Homecare Corp
1100397,ADXS,Advaxis Inc
2178,AE,Adams Resources & Energy
1039160,AEGN,Aegoin Corp
1338042,AEGR,Aegerion Pharmaceuticals
927003,AEIS,Advanced Energy Industries
1039828,AEL,American Equity Investment Life
919012,AEO,American Eagle Outfitters
785787,AEPI,AEP Industries Inc
1337553,AERI,Aerie Pharmaceuticals Inc
910322,AF,Astoria Financial Corp
799231,AFAM,Almost Family Inc
913077,AFFX,Affymetrix
1539894,AFH,Atlas Financial Holdings Inc
1122342,AFOP,Alliance Fiber Optic Products
1098972,AGEN,Agenus Inc
1091748,AGII,Argo Group International Holdings Ltd
845877,AGM,Federal Agricultural Mortgage Corp
1139029,AGRX,Agile Therapeutics Inc
100591,AGX,Argan Inc
78749,AGYS,Agilysys Inc
1569187,AHH,Armada Hoffler Properties Inc
1574085,AHP,Ashford Hospitality Prime Inc
1142750,AHS,Amn Healthcare Services Inc
1232582,AHT,Ashford Hospitality Trust Inc
1374535,AIMC,Altra Holdings
819793,AIN,Albany International Corp
817135,AIQ,Alliance Healthcare Services
1135185,AIR,AAR Corp
816159,AIRM,Air Methods Corp
